,District,Active Cases,Recovered,Confirmed,Deaths
607,Vikarabad,10917,15,10933,1
608,Wanaparthy,9674,0,9674,0
609,Warangal Rural,10500,0,10500,0
610,Warangal Urban,26021,23,26044,0
611,Yadadri Bhuvanagiri,11133,0,11133,0
613,Railway Quarantine,0,428,428,0
614,Airport Quarantine,8,2088,2098,2
615,Other State,0,63,66,3
616,Ariyalur,237,15560,16037,240
617,Chengalpattu,1152,159709,163274,2413
618,Chennai,2048,529907,540300,8345
619,Coimbatore,2259,227403,231863,2201
620,Cuddalore,777,59622,61220,821
621,Dharmapuri,316,25862,26415,237
622,Dindigul,157,31538,32322,627
623,Erode,1710,93208,95559,641
624,Kallakurichi,468,28854,29521,199
625,Kancheepuram,448,70483,72144,1213
626,Kanyakumari,339,59090,60451,1022
627,Karur,188,22297,22836,351
628,Krishnagiri,309,41004,41638,325
629,Madurai,228,72354,73729,1147
630,Nagapattinam,427,18353,19075,295
631,Namakkal,574,46739,47771,458
632,Nilgiris,493,30369,31048,186
633,Perambalur,109,11245,11579,225
634,Pudukkottai,356,27805,28533,372
635,Ramanathapuram,94,19665,20110,351
636,Ranipet,216,41208,42169,745
637,Salem,843,91888,94328,1597
638,Sivaganga,229,18594,19022,199
639,Tenkasi,112,26332,26928,484
640,Thanjavur,995,67113,68972,864
641,Theni,120,42404,43038,514
642,Thiruvallur,941,111754,114461,1766
643,Thiruvarur,432,37519,38327,376
644,Thoothukkudi,196,54680,55274,398
645,Tiruchirappalli,749,71481,73209,979
646,Tirunelveli,252,47469,48151,430
647,Tirupathur,178,27628,28410,604
648,Tiruppur,857,87021,88754,876
649,Tiruvannamalai,503,51442,52586,641
650,Vellore,308,46951,48356,1097
651,Viluppuram,358,43506,44205,341
652,Virudhunagar,137,44949,45628,542
653,Mayiladuthurai,259,20795,21325,271
654,Dhalai,107,6724,6866,35
655,Gomati,252,7469,7796,75
656,Khowai,76,4338,4466,52
657,North Tripura,182,6691,6912,39
658,Sipahijala,83,5960,6118,75
659,South Tripura,277,9434,9759,48
660,Unokoti,299,7848,8209,62
661,West Tripura,800,29284,30531,447
662,Agra,8,25269,25734,457
663,Aligarh,0,21168,21276,108
664,Ambedkar Nagar,5,4873,5028,150
665,Amethi,0,9815,9958,143
666,Amroha,2,16405,16610,203
667,Auraiya,1,9875,10079,203
668,Ayodhya,2,16620,16912,290
669,Azamgarh,4,17654,17886,228
670,Baghpat,2,8985,9128,141
671,Bahraich,2,11366,11546,178
672,Ballia,1,21372,21606,233
673,Balrampur,3,7346,7487,138
674,Banda,1,10831,10985,153
675,Barabanki,8,19599,19832,225
676,Bareilly,3,43591,43970,376
677,Basti,1,11383,11714,330
678,Bhadohi,2,7552,7717,163
679,Bijnor,1,14679,14788,108
680,Budaun,1,14825,14924,98
681,Bulandshahr,2,19958,20201,241
682,Chandauli,3,15839,16198,356
683,Chitrakoot,0,7027,7106,79
684,Deoria,6,19988,20212,218
685,Etah,0,9865,9963,98
686,Etawah,3,13632,13928,293
687,Farrukhabad,2,10144,10340,194
688,Fatehpur,3,6658,6800,139
689,Firozabad,0,8580,8715,135
690,Gautam Buddha Nagar,16,62746,63228,466
691,Ghaziabad,11,55150,55622,461
692,Ghazipur,10,21345,21636,281
693,Gonda,0,12020,12281,261
694,Gorakhpur,14,58515,59377,848
695,Hamirpur,1,5127,5229,101
696,Hapur,4,12407,12628,217
697,Hardoi,3,13402,13754,349
698,Hathras,0,2874,2917,43
699,Jalaun,5,11454,11661,202
700,Jaunpur,9,22325,22568,234
701,Jhansi,7,35869,36539,663
702,Kannauj,5,9101,9220,114
703,Kanpur Dehat,5,6074,6189,110
704,Kanpur Nagar,15,80974,82893,1904
705,Kasganj,0,4194,4247,53
706,Kaushambi,2,4346,4416,68
707,Kushinagar,37,15345,15610,228
708,Lakhimpur Kheri,10,24103,24405,292
709,Lalitpur,1,12605,12734,128
710,Lucknow,54,235939,238644,2651
711,Maharajganj,14,12242,12394,138
712,Mahoba,1,4181,4268,86
713,Mainpuri,36,9799,10017,182
714,Mathura,40,19865,20273,368
715,Mau,1,8242,8323,80
716,Meerut,7,68516,69420,897
717,Mirzapur,2,10964,11082,116
718,Moradabad,5,38740,39094,349
719,Muzaffarnagar,6,30724,30999,269
720,Pilibhit,0,10834,11027,193
721,Pratapgarh,0,15862,16023,161
722,Prayagraj,34,77499,78607,1074
723,Rae Bareli,31,16723,17074,320
724,Rampur,6,11665,11817,146
725,Saharanpur,2,32327,32749,420
726,Sambhal,2,9329,9436,105
727,Sant Kabir Nagar,1,8058,8157,98
728,Shahjahanpur,4,19905,20352,443
729,Shamli,0,12929,12974,45
730,Shrawasti,2,4348,4385,35
731,Siddharthnagar,5,9259,9364,100
732,Sitapur,1,12206,12392,185
733,Sonbhadra,0,16548,16799,251
734,Sultanpur,6,14763,14907,138
735,Unnao,3,14739,14996,254
736,Varanasi,21,84474,85466,971
737,Almora,6,11332,12139,801
738,Bageshwar,16,5608,5709,85
739,Chamoli,53,11827,12144,264
740,Champawat,34,7294,7547,219
741,Dehradun,171,107692,111951,4088
742,Haridwar,9,49020,51397,2368
743,Nainital,7,38000,39078,1071
744,Pauri Garhwal,10,16517,17541,1014
745,Pithoragarh,58,9820,10162,284
746,Rudraprayag,23,8467,8740,250
747,Tehri Garhwal,6,14816,15818,996
748,Udham Singh Nagar,23,36230,37808,1555
749,Uttarkashi,19,12035,12468,414
750,Alipurduar,243,14685,15027,99
751,Bankura,366,34097,34724,261
752,Birbhum,130,40009,40424,285
753,Cooch Behar,536,27307,27938,95
754,Dakshin Dinajpur,103,16705,16976,168
755,Darjeeling,998,52550,54050,502
